trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday,customer_waiting_time,driver_waiting_time
1714154,0 days 00:18:56.629155840,4.844139043516509,28.249033896604388,0.986862895632481,,2021,8,1,0 days 00:04:14.025536933,0 days 00:01:00.747911182
2333781,0 days 00:18:54.659111544,4.753195227401375,28.60061186118149,1.022334589235237,,2021,8,2,0 days 00:04:17.992737195,0 days 00:01:02.206532323
2453974,0 days 00:20:29.550564512,5.001244464692782,32.064410474601594,1.1288649675994935,,2021,8,3,0 days 00:04:43.548137552,0 days 00:01:01.165526841
2203198,0 days 00:21:02.968165820,4.950548921613037,31.497996584964213,1.0547536898635523,,2021,8,4,0 days 00:05:09.769956491,0 days 00:01:00.342052511
2432249,0 days 00:18:37.170864496,4.907072321953877,29.20027893525705,0.9417409854007546,,2021,8,5,0 days 00:05:06.888259784,0 days 00:01:00.096782267
2071958,0 days 00:18:03.839607270,5.27395487891164,30.780534397898037,0.9591658759492226,,2021,8,6,0 days 00:05:16.145618229,0 days 00:00:59.517480845
1732360,0 days 00:18:57.088007688,5.0158608008728,27.889453797132223,0.9970139982451687,,2021,9,0,0 days 00:03:45.061401269,0 days 00:01:01.334591456
1799639,0 days 00:18:55.100481818,4.706448599969218,27.813188433902578,1.0110825115481494,,2021,9,1,0 days 00:03:36.701526566,0 days 00:01:01.108532862
1893368,0 days 00:19:59.804628414,4.828185928990034,28.19022400294082,1.0390326127831462,,2021,9,2,0 days 00:03:22.897474772,0 days 00:01:01.535795300
2083889,0 days 00:20:51.464431646,4.922301064500077,29.430146293780524,1.0933229888924025,,2021,9,3,0 days 00:03:30.809502166,0 days 00:01:01.828703516
2976714,0 days 00:20:34.093444986,4.75258932735896,29.49766631594436,1.0369149773878172,,2021,9,4,0 days 00:03:58.529665921,0 days 00:01:01.076724894
3291058,0 days 00:18:27.727956480,4.738586651465879,27.939223477678016,0.9558898415038567,,2021,9,5,0 days 00:03:52.444920426,0 days 00:01:01.334531090
2768328,0 days 00:17:49.324030244,5.200231148548875,29.65972347929872,0.9817792075216522,,2021,9,6,0 days 00:03:59.939097501,0 days 00:01:00.779361994
2362189,0 days 00:19:26.761797637,5.058485376064321,28.666944452793565,1.0192181658622574,,2021,10,0,0 days 00:04:06.273695213,0 days 00:01:02.248598735
2407197,0 days 00:19:51.064431369,4.887954048214581,28.84396794695242,1.048557504849001,,2021,10,1,0 days 00:04:00.221451773,0 days 00:01:02.503187941
2044505,0 days 00:20:16.612919508,4.901413771548613,28.826879004942484,1.0348347301669598,,2021,10,2,0 days 00:03:46.933219059,0 days 00:01:03.638040717
2127671,0 days 00:19:28.831214036,5.1269193850929,29.438590830067223,1.0714413553599216,,2021,10,3,0 days 00:04:11.742945552,0 days 00:01:03.407229331
2366883,0 days 00:19:17.763292482,4.777656352679874,27.935171299130534,0.9709591390871453,,2021,10,4,0 days 00:04:13.229798604,0 days 00:01:03.199140006
2569689,0 days 00:18:20.345994009,4.790836660778792,27.751188264416427,0.9553863599836396,,2021,10,5,0 days 00:04:23.036064438,0 days 00:01:01.958561088
2163505,0 days 00:18:11.677929002,5.363558338899146,29.907664054393223,1.015482021072288,,2021,10,6,0 days 00:04:40.021794393,0 days 00:01:01.920274405
1819352,0 days 00:18:20.449466623,4.976040710648624,27.676348392174795,1.0442080477005,,2021,11,0,0 days 00:03:55.125971354,0 days 00:01:03.370165377
1832665,0 days 00:18:35.871509523,4.918276381662764,27.891740454474743,1.0710284094474443,,2021,11,1,0 days 00:03:39.391988727,0 days 00:01:03.826704230
2470560,0 days 00:18:59.161373534,4.917716289019494,28.264204415193316,1.0698979664529498,,2021,11,2,0 days 00:03:39.254258365,0 days 00:01:04.392215919
2609310,0 days 00:19:38.245676443,5.034374980742032,29.013494076978173,1.097366713805566,,2021,11,3,0 days 00:03:41.269977035,0 days 00:01:04.861756800
2876356,0 days 00:18:42.508508334,4.944266158291955,27.918177277082513,1.0387582900030456,,2021,11,4,0 days 00:03:57.682902669,0 days 00:01:04.813550111
2404351,0 days 00:17:59.823069926,4.896952274023223,28.055068640144462,1.0211632494590017,,2021,11,5,0 days 00:04:09.507973506,0 days 00:01:04.447702252
2041901,0 days 00:17:32.694413686,5.232092845343628,29.880245854230935,1.081137635957865,,2021,11,6,0 days 00:04:08.094964614,0 days 00:01:03.230289654
2161563,0 days 00:17:04.722993963,4.77717666845704,25.040094959064348,0.8059426257758853,,2022,0,0,0 days 00:03:16.558141614,0 days 00:01:05.587267702
1724088,0 days 00:16:58.108165012,4.566462278027573,24.0217377593255,0.7977630318174017,,2022,0,1,0 days 00:02:49.787031561,0 days 00:01:06.643901403
