trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,weekday
161891,0 days 00:14:22.449392160,2.716037395531561,16.810226757509685,1.930834697419869,1.398854785009667,2020,11,5
133497,0 days 00:14:31.004190963,3.046137366382765,17.737192446272203,1.9980744885652866,1.3835217270800093,2020,11,6
175913,0 days 00:13:49.733246576,2.972571384718583,17.781528823907273,1.9228378232421703,1.2839642323193852,2021,0,0
195980,0 days 00:14:03.536696801,2.788011633840188,17.381404786202673,1.8743080416369016,1.2820083682008367,2021,0,1
202946,0 days 00:13:47.023611413,2.708468016122515,17.130693780611594,1.857510076572093,1.2808973815694815,2021,0,2
213084,0 days 00:14:32.570898369,2.7610969852264837,17.42775332732631,1.8830244879953448,1.2921242326969646,2021,0,3
237215,0 days 00:14:27.891104190,2.8101648293741954,17.462683852201593,1.8981513816579894,1.3061779398436018,2021,0,4
194230,0 days 00:13:51.381662407,2.9827460227565252,17.42852221592957,1.965459300828914,1.3782834783504092,2021,0,5
150401,0 days 00:13:28.551913152,3.3822746524291727,18.461589883045992,2.073452570129188,1.3608154201102387,2021,0,6
149555,0 days 00:14:27.277776657,2.873501855504664,17.69867313028652,1.8583987161913673,1.276172645515028,2021,1,0
190282,0 days 00:14:38.671512979,2.7887470701380055,17.62876052385407,1.8556212358499486,1.2910942706088857,2021,1,1
233435,0 days 00:15:45.964154589,2.733483839184355,17.88246608263543,1.9001803928288388,1.2812560241609012,2021,1,2
218072,0 days 00:15:58.358228127,2.745631809677538,17.998627655086395,1.9293304046370003,1.2735518544333981,2021,1,3
239804,0 days 00:15:16.165685157,2.730348492935898,17.70032605794733,1.890858993177762,1.3069006355190071,2021,1,4
198662,0 days 00:14:13.955605657,2.774008164621317,16.989294882765698,1.9311016701734602,1.3821062910873745,2021,1,5
141899,0 days 00:13:31.772267765,3.1149277302870346,17.80338994637031,1.9968441638066512,1.3700378438184906,2021,1,6
290611,0 days 00:14:18.280130045,2.9330969921991947,17.894093650962972,1.8771890258799564,1.2828110429405633,2021,2,0
319628,0 days 00:14:48.244864652,2.794610265683858,17.67428795349594,1.883132860700565,1.2870774775676723,2021,2,1
335644,0 days 00:14:53.366960463,2.7480068167463148,17.621498611624226,1.9088738067714603,1.2839377435616308,2021,2,2
276759,0 days 00:15:04.768954193,2.7425559783060356,17.707228346684303,1.9487142604215217,1.2894865207635524,2021,2,3
289260,0 days 00:15:30.413432193,2.7738044319988933,17.906638560464636,1.9768189518080617,1.309828527967918,2021,2,4
244804,0 days 00:14:30.557787380,2.8539763239162763,17.47224465286515,2.024632277250372,1.3853858597081747,2021,2,5
168446,0 days 00:13:57.063402568,3.2711397124300956,18.403800802631114,2.072775548246916,1.3562269213872695,2021,2,6
271131,0 days 00:15:05.926522966,3.06537212638909,18.665502100460664,2.0063925187455505,1.2983096731838115,2021,3,0
299921,0 days 00:15:38.476391309,2.913860216523685,18.473497621040206,2.0131903067807855,1.2973749754101913,2021,3,1
314884,0 days 00:15:38.097503101,2.8379083726070555,18.264352459953507,2.022555893598912,1.2967314947726782,2021,3,2
397028,0 days 00:15:51.071892095,2.8598168894889024,18.382125316098616,2.0636745015464903,1.3088220478152675,2021,3,3
407335,0 days 00:15:58.935308634,2.894852958866781,18.534924717983976,2.0879004013895193,1.3203800311782685,2021,3,4
283517,0 days 00:15:09.211395605,2.9414796290874974,17.955736693037814,2.0969287555949023,1.3964559444407214,2021,3,5
197371,0 days 00:14:28.288478706,3.393499044945813,18.993048826828666,2.180074124364775,1.3736060515475932,2021,3,6
361842,0 days 00:15:06.253286833,3.25786796447068,19.184481624576474,2.181065050491651,1.33051165978521,2021,4,0
337867,0 days 00:15:48.046675379,2.912097511742786,18.589730722444045,2.1245275507818167,1.315707068165876,2021,4,1
357995,0 days 00:16:25.895212176,2.877451165519072,18.745800695540442,2.1735578709199848,1.3136384586376906,2021,4,2
356163,0 days 00:17:02.960860765,2.997758610523834,19.26391017595876,2.237355396265193,1.3290768552600916,2021,4,3
367819,0 days 00:17:02.122303235,3.026158518184215,19.272388946737394,2.252035539219018,1.3412085835696361,2021,4,4
407885,0 days 00:15:00.736440765,3.0207101756622587,18.28625843068512,2.1795264351471615,1.409483065079618,2021,4,5
317538,0 days 00:15:01.119780389,3.4841052094552456,19.442075090225423,2.2834430524850573,1.4022227260989235,2021,4,6
358257,0 days 00:15:56.876994350,3.2165405281683266,19.412346695249504,2.2716011689932083,1.3537069757185485,2021,5,0
478856,0 days 00:16:46.768481071,3.0078760629500314,19.205637978849584,2.2681429490285177,1.3427147200828642,2021,5,1
499019,0 days 00:16:56.341042641,2.9799549315757523,19.19026131269551,2.2793713666213113,1.3555956787216519,2021,5,2
408146,0 days 00:17:45.529451567,3.060728930333754,19.69263236684912,2.362864563171022,1.3586437206293827,2021,5,3
396201,0 days 00:17:49.526048191,3.1190964182321603,19.883510894722633,2.374337974916772,1.3737976431154895,2021,5,4
387045,0 days 00:16:06.153248613,3.1354489012905478,18.984521980648257,2.2854940123241483,1.4397421488457414,2021,5,5
306740,0 days 00:16:14.402431704,3.638972028427984,20.276124698441677,2.4220774271369887,1.4188335398056986,2021,5,6
327697,0 days 00:15:57.910559545,3.5571882257085057,20.320520114618084,2.3656318184176235,1.3912943969581657,2021,6,0
377805,0 days 00:15:45.390316846,3.1762884027474483,19.37089808234407,2.2795950556504017,1.361421897539736,2021,6,1
399776,0 days 00:16:13.359409420,3.1708391699351632,19.53178912691107,2.322950327183223,1.3648268030096855,2021,6,2
498079,0 days 00:17:37.061257948,3.197282961136688,20.05296390733197,2.390002128176454,1.363099026459658,2021,6,3
482214,0 days 00:17:23.612733053,3.308537060309324,20.180407308788222,2.3730470703878357,1.3845160032682584,2021,6,4
446720,0 days 00:16:30.141818874,3.332238426755015,19.575979226361035,2.3108930873925506,1.450472331661891,2021,6,5
