trip_count,trip_time,trip_distance,total_amount,tip_amount,passenger_count,year,month,hour
7330,0 days 00:27:58.961800818,4.426470668485676,24.226755798090043,1.320261937244202,0.9323328785811733,2021,9,16
7250,0 days 00:25:15.733931034,4.262729655172414,22.75577379310345,1.3881131034482759,0.9889655172413793,2021,9,17
6307,0 days 00:23:23.219280164,3.9520183922625653,22.138585698430315,1.4883589662280006,1.0355160932297447,2021,9,18
5524,0 days 00:24:15.403874004,3.869556480811007,21.424221578566254,1.5683291093410574,1.0698769007965243,2021,9,19
4257,0 days 00:22:14.667841202,4.069657035470989,21.206972046041813,1.5142400751703078,1.0669485553206484,2021,9,20
3508,0 days 00:20:56.149657924,4.197710946408209,21.742662485746866,1.5794783352337514,1.0461801596351197,2021,9,21
2942,0 days 00:17:09.841264445,4.116461590754589,21.590825968728755,1.6527702243371856,1.0380693405846364,2021,9,22
2371,0 days 00:18:53.643610291,4.007908055672712,21.094943061999157,1.5762294390552507,1.0923660902572754,2021,9,23
1707,0 days 00:21:55.680140597,3.712331575864089,19.036754540128882,1.581927357937903,1.2038664323374342,2021,10,0
1213,0 days 00:30:37.427745664,3.266166529266282,17.869892827699918,1.5450123660346249,1.193734542456719,2021,10,1
718,0 days 00:16:26.275766016,3.3829665738161565,19.53935933147632,1.637632311977716,1.1713091922005572,2021,10,2
631,0 days 00:21:52.068145800,4.216719492868463,23.07302694136292,1.5450713153724247,1.1283676703645007,2021,10,3
830,0 days 00:26:48.828915662,6.2738915662650605,30.649060240963856,1.198024096385542,0.7120481927710843,2021,10,4
1093,0 days 00:23:11.639524245,8.760375114364136,38.66616651418116,1.3654071363220492,0.4885635864592864,2021,10,5
2452,0 days 00:28:30.586460032,7.239698205546492,32.925069331158234,1.1517618270799348,0.6190864600326265,2021,10,6
4575,0 days 00:42:49.545355191,5.611584699453551,26.102607650273224,1.2334885245901637,0.7361748633879781,2021,10,7
6149,0 days 00:28:02.933973003,4.612018214343796,24.29489347861441,1.2065197593104569,0.7500406570174012,2021,10,8
7017,0 days 00:25:46.301268348,5.093911928174434,24.591604674362266,1.0727903662533846,0.7269488385349865,2021,10,9
7227,0 days 00:26:40.702919607,4.516889442368894,24.256417600664175,1.0393745675937458,0.7628338176283381,2021,10,10
7378,0 days 00:27:12.001219842,4.667905936568175,24.558488750338846,1.1112374627270263,0.7835456763350501,2021,10,11
7136,0 days 00:26:10.919142376,4.991192544843049,24.6542600896861,1.0706376121076233,0.7661154708520179,2021,10,12
7118,0 days 00:26:19.818347850,4.750060410227592,24.185182635571792,1.116941556617027,0.7898286035403204,2021,10,13
7225,0 days 00:31:39.791280276,4.6702519031141865,24.17556816608997,1.2862020761245676,0.8442906574394463,2021,10,14
7389,0 days 00:32:25.217620787,4.532211395317363,24.312437406956292,1.350841791852754,0.9035052104479632,2021,10,15
7033,0 days 00:30:33.673823403,4.742890658325039,24.13620787715058,1.4208531210009954,0.917105076069956,2021,10,16
6724,0 days 00:28:07.995538370,4.260193337299227,23.083425044616302,1.5615303390838786,0.9778405710886378,2021,10,17
6186,0 days 00:24:41.912059489,3.855919818946007,21.530725832525057,1.6376915615906884,1.0098609763983188,2021,10,18
5328,0 days 00:21:33.955518018,3.8689264264264263,20.797175300300303,1.520352852852853,1.0230855855855856,2021,10,19
4326,0 days 00:22:13.015718908,4.111583448913547,20.931121128062877,1.5706495607951918,1.0450762829403606,2021,10,20
3506,0 days 00:20:42.479178551,4.090964061608671,20.76344266970907,1.546845407872219,1.042783799201369,2021,10,21
2887,0 days 00:18:44.983720124,4.204520263249048,21.466414963630065,1.6383893314859714,1.0173190162798753,2021,10,22
2381,0 days 00:18:27.047039059,3.9582654346913064,21.247190256194877,1.5718689626207476,1.123897522049559,2021,10,23
1568,0 days 00:22:47.213010204,3.685414540816326,20.306345663265308,1.5357334183673468,1.103954081632653,2021,11,0
1077,0 days 00:20:31.033426183,3.3457010213556173,18.35339832869081,1.5790529247910863,1.139275766016713,2021,11,1
710,0 days 00:19:05.281690140,3.6501408450704225,20.10569014084507,1.7125915492957746,1.0985915492957747,2021,11,2
543,0 days 00:28:26.272559852,4.032578268876612,22.555672191528544,1.618195211786372,1.0257826887661141,2021,11,3
733,0 days 00:25:12.206002728,6.140313778990451,31.205047748976806,1.362237380627558,0.7530695770804912,2021,11,4
907,0 days 00:24:36.040793825,8.309327453142227,38.40894156560088,1.6499448732083792,0.6030871003307607,2021,11,5
